,Predictions,Actual,Stock Price,,,,,,ROI,,,,
372,76.67547644,81.65,76.45,TRUE,FALSE,FALSE,6.8%,,,,,,
1742,36.33010456,26.6,32.77,TRUE,FALSE,FALSE,-18.8%,,,,,,
1250,39.74905635,30.61,33.22,TRUE,FALSE,FALSE,-7.9%,,,,,,
735,71.43086485,63.79,70.53,TRUE,FALSE,FALSE,-9.6%,,,,,,
822,91.06865961,92.9,93.12,FALSE,TRUE,FALSE,-0.2%,,,,,,
1799,98.50741831,91.63,92.94,TRUE,FALSE,FALSE,-1.4%,,,,,,
554,36.6639433,36.26,36.37,TRUE,FALSE,FALSE,-0.3%,,,,,,
60,70.8906744,71.55,69.38,TRUE,FALSE,FALSE,3.1%,,,,,,
831,11.14670004,9.13,8.18,TRUE,FALSE,FALSE,11.6%,,,,,,
1522,145.873969,141.39,144.23,TRUE,FALSE,FALSE,-2.0%,,,,,,
667,67.97260159,62.16,65.52,TRUE,FALSE,FALSE,-5.1%,,,,,,
1222,208.4779425,203.37,206.85,TRUE,FALSE,FALSE,-1.7%,,,,,,
634,36.50904428,34.81,33.72,TRUE,FALSE,FALSE,3.2%,,,,,,
1780,219.9803141,221.67,214.87,TRUE,FALSE,FALSE,3.2%,,,,,,
1382,57.7986035,55.29,55.48,TRUE,FALSE,FALSE,-0.3%,,,,,,
34,90.33939358,97.4,90.56,FALSE,TRUE,FALSE,7.6%,,,,,,
1046,28.36250654,24.29,25.72,TRUE,FALSE,FALSE,-5.6%,,,,,,
1438,95.88831948,94.16,90.5,TRUE,FALSE,FALSE,4.0%,,,,,,
547,136.9068437,133.33,134.56,TRUE,FALSE,FALSE,-0.9%,,,,,,
1106,77.72631769,81.72,77.04,TRUE,FALSE,FALSE,6.1%,,,,,,
442,89.98931048,102.45,97.17,FALSE,TRUE,FALSE,5.4%,,,,,,
360,50.56253154,53.2,47.5,TRUE,FALSE,FALSE,12.0%,,,,,,
909,40.50080809,38.39,38.25,TRUE,FALSE,FALSE,0.4%,,,,,,
640,69.44971314,56.04,64.22,TRUE,FALSE,FALSE,-12.7%,,,,,,
673,120.5593698,115.21,119.84,TRUE,FALSE,FALSE,-3.9%,,,,,,
70,248.156168,237.77,248.08,TRUE,FALSE,FALSE,-4.2%,,,,,,
1640,55.00487839,51.52,52.73,TRUE,FALSE,FALSE,-2.3%,,,,,,
1092,20.09191966,18.46,18.1,TRUE,FALSE,FALSE,2.0%,,,,,,
866,77.67708401,81.06,74.42,TRUE,FALSE,FALSE,8.9%,,,,,,
1348,63.69314251,60.49,59.19,TRUE,FALSE,FALSE,2.2%,,,,,,
1009,72.3456614,62.92,70.05,TRUE,FALSE,FALSE,-10.2%,,,,,,
1538,269.2421906,285.2,285.38,FALSE,TRUE,FALSE,-0.1%,,,,,,
454,30.23625008,24.69,27.7,TRUE,FALSE,FALSE,-10.9%,,,,,,
43,47.00229996,46.39,44.41,TRUE,FALSE,FALSE,4.5%,,,,,,
340,108.1996733,112.53,106.38,TRUE,FALSE,FALSE,5.8%,,,,,,
1380,107.3312359,107.9,106.39,TRUE,FALSE,FALSE,1.4%,,,,,,
767,93.70242741,99.36,92.52,TRUE,FALSE,FALSE,7.4%,,,,,,
812,44.60994202,43.94,42.29,TRUE,FALSE,FALSE,3.9%,,,,,,
802,36.28003496,33.92,33.78,TRUE,FALSE,FALSE,0.4%,,,,,,
848,93.76035777,94.39,90.97,TRUE,FALSE,FALSE,3.8%,,,,,,
691,82.04977395,81.32,80.45,TRUE,FALSE,FALSE,1.1%,,,,,,
769,92.69827426,96.12,91.24,TRUE,FALSE,FALSE,5.3%,,,,,,
1632,122.534158,121.51,113.07,TRUE,FALSE,FALSE,7.5%,,,,,,
1196,89.11535334,86.3,86.99,TRUE,FALSE,FALSE,-0.8%,,,,,,
335,45.27884626,47.45,44.31,TRUE,FALSE,FALSE,7.1%,,,,,,
458,41.93541564,39.51,38.77,TRUE,FALSE,FALSE,1.9%,,,,,,
1073,74.16676508,75.75,72.89,TRUE,FALSE,FALSE,3.9%,,,,,,
261,48.33464734,44.25,45.16,TRUE,FALSE,FALSE,-2.0%,,,,,,
1710,245.6885462,264.06,245.06,TRUE,FALSE,FALSE,7.8%,,,,,,
528,91.20176051,98.69,91.86,FALSE,TRUE,FALSE,7.4%,,,,,,
1078,502.1384487,513.64,522.29,FALSE,TRUE,FALSE,-1.7%,,,,,,
1670,249.4499468,248.81,249.02,TRUE,FALSE,FALSE,-0.1%,,,,,,
354,196.1291304,207.39,196.95,FALSE,TRUE,FALSE,5.3%,,,,,,
306,66.38876022,69.04,63.49,TRUE,FALSE,FALSE,8.7%,,,,,,
1083,107.9280726,105.22,111.53,FALSE,TRUE,FALSE,-5.7%,,,,,,
