,Predictions,Actual,Stock Price
1191,188.1404823231622,195.37,186.48
1630,63.93542796194627,65.78,62.74
236,41.01261932740263,38.93,39.1
1104,65.69403575025488,64.79,64.82
1485,60.182356226108084,59.41,58.81
1578,45.197908302410895,43.09,44.95
430,97.21393556692108,95.58,95.38
1879,288.394712017131,235.77,282.5
398,84.33988831774857,87.0,82.9
557,48.669790315344216,49.09,48.12
1789,39.731095361115784,40.07,38.48
1801,112.47170773179174,114.56,112.4
699,67.7830315910015,67.56,66.51
88,91.54378287630468,89.19,89.97
735,71.25048781104228,63.79,69.87
1561,63.2709590036722,64.09,61.19
590,50.78308821386167,50.96,49.25
1633,48.54395653017742,43.72,46.37
22,210.89595994921825,210.57,209.32
384,1637.8394075117117,1639.83,1626.23
1107,48.180605390608314,45.82,46.34
668,146.24635677465466,141.03,141.87
300,195.0423148824612,209.45,193.99
272,163.48174673699395,161.82,163.44
86,211.9827269645021,197.9,216.18
403,60.78016054555405,66.6,57.39
825,217.27934021994542,214.31,216.06
1355,27.655796828815863,28.24,26.01
385,1157.7460112665326,1164.94,1151.87
670,68.51032110335682,70.84,67.6
1128,16.965434301755838,15.58,15.56
1391,50.65935659736643,59.96,50.47
1441,95.95310424079501,89.0,98.52
1420,210.23168272401415,212.58,210.21
1452,54.99631867684557,54.52,53.43
309,41.41964635427921,41.5,40.27
579,583.0340468360591,616.44,585.78
748,30.094069157048665,26.91,28.64
200,307.1345649893747,307.68,303.0
585,158.14025257789746,180.91,159.97
162,78.88391037363762,76.45,76.82
1202,178.18812112403873,174.7,174.54
1052,63.39131943719045,66.05,62.86
1172,42.43170080655386,41.63,41.05
157,71.49622132213791,72.41,70.21
1337,45.99530912120689,40.72,43.69
220,30.37027345306519,29.11,28.99
156,31.46081580419394,30.36,30.01
1658,61.24510122170296,62.66,60.83
1811,177.69045169033012,196.08,175.4
1494,198.1311979247376,198.18,196.18
335,46.113189500991695,47.45,45.69
1831,35.67833175663182,35.46,34.62
302,49.469235401886166,46.98,47.68
231,178.72591194484585,182.71,177.26
1371,113.94598686323685,113.7,112.54
178,108.45446289968365,103.35,107.75
111,65.64073675214752,62.86,63.48
71,181.2489170301052,166.29,177.68
249,25.384377488217577,26.38,24.35
